Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Label,TimeSinceLastCommit(days),Status,Last_Commit_Date
qFlipper,flipperdevices,12320881.0,254017.0,3297723.9999999995,9.710547972541507,2371531.579019035,alive,2.940011574074074,verify,2024-01-10T16:01:40Z
GitQlient,francescmm,7691894.0,21423.0,2046740.5999999996,5.727308429118774,1489811.9776844946,alive,0.2479513888888889,False,2023-11-18T15:09:51Z
ungit,FredrikNoren,6816697.0,910690.0,4321596.599999997,14.065118534482759,1629604.5807609423,alive,10.540393518518519,True,2024-02-18T19:31:25Z
Developer_Quiz_Site,freeCodeCamp,66937.0,12185.0,61860.8,0.19186462324393358,22668.31328299614,alive,0.14103009259259258,True,2024-03-13T02:34:40Z
fullcalendar,fullcalendar,4823254.0,1350897.0,2837034.5999999964,5.532302442528736,1137633.036146289,alive,15.635381944444445,True,2024-02-20T16:43:21Z
redux-devtools,gaearon,2352381.0,330691.0,513440.39999999985,2.03740940293742,448716.43949508667,alive,3.8274421296296297,True,2024-03-15T01:50:19Z
QtAwesome,gamecreature,9448334.0,2013168.0,3903218.5999999987,11.096774026181354,2008489.8736852182,alive,23.300555555555555,verify,2023-12-16T07:11:34Z
grav,getgrav,3559149.0,320512.0,2541914.5999999978,3.503047972541507,896622.7740758363,alive,3.70962962962963,True,2024-03-06T21:53:53Z
You-Dont-Know-JS,getify,11931844.0,2756559.0,9263725.79999999,13.857629310344828,3126646.7994487328,alive,31.904618055555556,verify,2023-12-26T20:46:57Z
pelican,getpelican,75650.0,29352.0,53633.99999999996,0.09694963282247765,18507.77151358355,alive,0.3397222222222222,True,2024-03-12T11:18:11Z
redash,getredash,348341.0,29239.0,251659.19999999998,0.8145937100893998,87928.53401864202,alive,0.33841435185185187,True,2024-03-14T23:00:19Z
jQRangeSlider,ghusse,131928742.0,1046236.0,72879201.7999998,110.03608317369093,31213854.948446505,alive,12.109212962962962,False,2023-10-19T21:22:44Z
gin,gin-gonic,5187967.0,2997769.0,3504437.599999993,7.621492656449553,1285035.9227542875,alive,34.69640046296296,True,2024-03-14T03:22:54Z
gitbook,GitbookIO,130439855.0,21061791.0,24596143.59999999,83.74542784163474,24595441.079846732,alive,243.77072916666665,False,2023-03-02T05:30:09Z
hub,github,20779459.0,2373633.0,17279439.4,35.74925127713921,5906971.682589832,alive,27.472604166666667,False,2023-10-04T12:39:27Z
quicktype,glideapps,2165107.0,1256213.0,1408317.3999999994,3.747339958492976,561332.7672194904,alive,14.539502314814815,True,2024-03-09T14:08:28Z
gogs,gogits,1097902.0,166900.0,782187.6,3.9299137931034482,352064.4184640064,alive,1.931712962962963,True,2024-03-14T02:03:02Z
hugo,gohugoio,67592.0,26371.0,59620.19999999998,0.14960169220945083,20615.7889085686,alive,0.3052199074074074,True,2024-03-15T16:26:45Z
gs-quant,goldmansachs,1642316.0,573912.0,1570962.0,6.509768518518518,541883.4813788056,alive,6.6425,True,2024-03-13T09:01:46Z
gollum,gollum,2531469.0,113402.0,1516920.5999999994,4.66663912835249,636011.1280455833,alive,1.312523148148148,verify,2024-01-31T15:29:45Z
quicklink,GoogleChromeLabs,4964839.0,16834.0,2676081.999999999,6.602441331417625,1172297.8980362192,alive,0.19483796296296296,True,2024-02-21T04:34:07Z
lighthouse,GoogleChrome,523492.0,343493.0,389926.9999999998,0.8679350255427841,135374.68006017257,alive,3.975613425925926,True,2024-03-14T22:45:49Z
quickdraw-dataset,googlecreativelab,23151062.0,20594651.0,21909989.599999994,48.41539192209451,7180351.464724241,alive,238.3640162037037,False,2023-03-07T15:15:49Z
quilkin,googleforgames,909218.0,144243.0,478655.39999999973,1.3818841794380587,196176.23807786772,alive,1.6694791666666666,True,2024-03-14T06:52:57Z
